Symbol,CompanyName,MarketCap,Sector,Industry,DividendYield,Beta
BPSR,Organicell Regenerative Medicine Inc,$150.9M,Health Care,Biotechnology,--,+5.7
BPTH,Bio-Path Holdings Inc,$17.0M,Health Care,Biotechnology,--,+2.1
BPUZF,EROS RESOURCES CORP,$7.3M,Materials,Metals & Mining,--,+0.5
BPY,Brookfield Property Partners LP,$15.7B,Real Estate,Real Estate Management & Development,7.82%,+1.4
BPYU,Brookfield Property Reit Inc,$663.6M,Real Estate,Equity Real Estate Investment Trusts (REITs),7.52%,--
BR,"Broadridge Financial Solutions, Inc.",$17.4B,Information Technology,IT Services,1.52%,+0.9
BRANF,Baran Group Ltd. (USA),$29.9M,Industrials,Construction & Engineering,--,+1.1
BRAV,Bravada International Ltd.,$2.0M,Consumer Discretionary,Specialty Retail,--,+2.8
BRBMF,Big Rock Brewery Inc (USA),$26.0M,Consumer Staples,Beverages,--,+0.4
BRBR,Bellring Brands Inc,$942.4M,Consumer Staples,Personal Products,--,--
BRC,Brady Corp,$2.7B,Industrials,Commercial Services & Supplies,1.71%,+0.8
BRDCY,Bridgestone Corp (ADR),$22.9B,Consumer Discretionary,Auto Components,--,+0.5
BRER,"Bresler & Reiner, Inc.",$547.7K,Real Estate,Real Estate Management & Development,--,--
BRFH,Barfresh Food Group Inc,$70.1M,Consumer Staples,Food Products,--,-0.4
BRFS,BRF SA (ADR),$3.3B,Consumer Staples,Food Products,--,+1.8
BRG,Bluerock Residential Growth REIT Inc,$289.8M,Real Estate,Equity Real Estate Investment Trusts (REITs),5.38%,+1.0
BRG-A,Bluerock Residential Growth REIT Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),8.19%,--
BRG-C,Bluerock Residential Growth REIT Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),7.33%,--
BRG-D,Bluerock Residential Growth REIT Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),6.95%,--
BRID,Bridgford Foods Corporation,$161.7M,Consumer Staples,Food Products,--,-0.0
BRK.A,Berkshire Hathaway Inc.,$222.4B,Financials,Diversified Financial Services,--,+0.9
BRK.B,BERKSHIRE HATHAWAY INC DEL CL B NEW,$312.8B,Financials,Diversified Financial Services,--,+0.9
BRKL,"Brookline Bancorp, Inc.",$955.0M,Financials,Banks,3.83%,+0.8
BRKR,Bruker Corporation,$8.2B,Health Care,Life Sciences Tools & Services,0.30%,+1.3
BRKS,"Brooks Automation, Inc",$5.0B,Information Technology,Semiconductors & Semiconductor Equipment,0.60%,+2.0
BRLGF,FOUNDERS ADV CAP CORP,$81.7M,Financials,Capital Markets,--,+1.8
BRLL,Barrel Energy Inc,$241.5K,Materials,Metals & Mining,--,--
BRLXF,BORALEX INC,$3.9B,Utilities,Independent Power & Renewable Electricity Producers,1.35%,+0.7
BRMK,Broadmark Realty Capital Inc,$1.3B,Financials,Mortgage Real Estate Investment Trusts (REITs),7.12%,--
BRNE,Borneo Resource Investments Ltd,$148.9K,Materials,Metals & Mining,--,+3.7
BRO,"Brown & Brown, Inc.",$13.3B,Financials,Insurance,0.80%,+0.6
BRP,BRP Group Inc,$2.6B,Financials,Insurance,--,--
BRPHF,GALAXY DIGITAL HOLDINGS LTD,$633.8M,Financials,Capital Markets,--,+2.6
BRRE,Blue Ridge Real Estate Co,$9.7M,Real Estate,Real Estate Management & Development,--,+0.6
BRSGF,QUEEN'S RD CAP INVST LTD,$164.4M,Materials,Metals & Mining,--,+2.7
BRSI,"Ballistic Recovery Systems, Inc.",$351.3K,Industrials,Aerospace & Defense,--,-0.9
BRST,Broad Street Realty Inc,$12.4M,Real Estate,Real Estate Management & Development,--,--
BRT,BRT Apartments Corp,$256.5M,Real Estate,Equity Real Estate Investment Trusts (REITs),6.01%,+1.2
BRTE,"Brightec, Inc.",$439.4K,Materials,Chemicals,--,-2.2
BRTI,Blackridge Technology International Inc,$2.0M,Information Technology,Software,--,+5.3
BRTX,BioRestorative Therapies Inc,$20.8M,Health Care,Biotechnology,--,--
BRUZF,CANADA CARBON INC,$17.2M,Materials,Metals & Mining,--,+0.3
BRX,Brixmor Property Group Inc,$4.7B,Real Estate,Equity Real Estate Investment Trusts (REITs),5.44%,+1.7
BRYFF,BRI-CHEM CORP,$1.4M,Industrials,Trading Companies & Distributors,--,+2.7
BSAC,Banco Santander-Chile (ADR),$9.7B,Financials,Banks,4.43%,+0.8
BSBK,Bogota Financial Corp,$118.2M,Financials,Thrifts & Mortgage Finance,--,--
BSBR,Banco Santander Brasil SA (ADR),$31.2B,Financials,Banks,--,+1.0
BSEM,Biostem Technologies Inc,$12.4M,Health Care,Pharmaceuticals,--,+2.8
BSET,Bassett Furniture Industries Inc.,$195.6M,Consumer Discretionary,Household Durables,2.61%,+1.7
BSGM,BioSig Technologies Inc,$127.3M,Health Care,Health Care Equipment & Supplies,--,+1.8
BSHI,Boss Holdings Inc,$42.5M,Consumer Discretionary,Distributors,--,+0.9
BSIG,BrightSphere Investment Group Inc,$1.5B,Financials,Capital Markets,0.21%,+1.8
BSMX,Banco Santadr Mc SA In de Bn Ml Gp(ADR),$3.4B,Financials,Banks,--,+1.4
BSPK,Bespoke Extracts Inc,$6.4M,Health Care,Pharmaceuticals,--,+3.3
BSPM,Biostar Pharmaceuticals Inc,$198.8K,Health Care,Pharmaceuticals,--,+1.6
BSQR,BSQUARE Corporation,$19.4M,Information Technology,Software,--,+1.6
BSRC,BioSolar Inc,$23.3M,Information Technology,Semiconductors & Semiconductor Equipment,--,+2.3
BSRR,Sierra Bancorp,$358.0M,Financials,Banks,3.40%,+1.2
BSSP,Cantech Holding Inc,$74.4K,Health Care,Biotechnology,--,--
BSTG,Biostage Inc,$10.8M,Health Care,Biotechnology,--,-0.1
BSTN,Boston Carriers Inc,$769.8K,Industrials,Marine,--,+0.9
BSVN,Bank7 Corp,$129.1M,Financials,Banks,3.07%,--
BSX,Boston Scientific Corporation,$51.1B,Health Care,Health Care Equipment & Supplies,--,+0.9
BSX-A,Boston Scientific Corp,--,Health Care,Health Care Equipment & Supplies,5.07%,--
BSYI,"BioSyntech, Inc.",$210.8K,Health Care,Biotechnology,--,-0.2
BTAI,BioXcel Therapeutics Inc,$1.2B,Health Care,Biotechnology,--,--
BTBIF,BTB REAL ESTATE INVESTMNT TR,$174.3M,Real Estate,Equity Real Estate Investment Trusts (REITs),8.64%,+1.5
BTBT,Bit Digital Inc,$1.2B,Financials,Consumer Finance,--,--
BTCY,Biotricity Inc,$26.1M,Health Care,Health Care Technology,--,+1.9
BTDG,B2Digital Inc.,$3.0M,Communication Services,Entertainment,--,+2.3
BTG,B2GOLD CORP,$6.3B,Materials,Metals & Mining,2.70%,+1.2
BTGOF,BT GROUP PLC,$18.0B,Communication Services,Diversified Telecommunication Services,--,+1.0
BTHE,Boston Therapeutics Inc,$2.7M,Health Care,Pharmaceuticals,--,-0.3
BTN,Ballantyne Strong Inc,$29.6M,Communication Services,Entertainment,--,+1.0
BTQNF,BQE WATER INC,$18.3M,Industrials,Commercial Services & Supplies,--,+1.4
BTSR,Brightstar Information Tech Group Inc,$21.0K,Information Technology,IT Services,--,--
BTTR,Better Choice Company Inc,$62.9M,Consumer Staples,Personal Products,--,-5.0
BTZI,Bots Inc,$20.8M,Industrials,Construction & Engineering,--,-0.6
BUD,Anheuser Busch Inbev NV (ADR),$116.2B,Consumer Staples,Beverages,2.08%,+1.5
BUDZ,Weed Inc,$24.3M,Health Care,Pharmaceuticals,--,+0.7
BUKS,Butler National Corporation,$40.0M,Industrials,Aerospace & Defense,--,+0.9
BURCA,Burnham Holdings Inc,$40.4M,Industrials,Building Products,6.90%,+0.4
BURL,Burlington Stores Inc,$16.7B,Consumer Discretionary,Specialty Retail,--,+0.9
BUSE,First Busey Corporation,$1.2B,Financials,Banks,4.13%,+1.1
BV,Brightview Holdings Inc,$1.6B,Industrials,Commercial Services & Supplies,--,--
BVFL,BV Financial Inc,$40.9M,Financials,Thrifts & Mortgage Finance,--,+1.1
BVLDF,BOLD VENTURES INC,$4.2M,Materials,Metals & Mining,--,+1.9
BVN,Compania de Minas Buenaventura SAA (ADR),$3.1B,Materials,Metals & Mining,--,+0.9
BVTEF,ICONIC MINERALS LTD,$9.1M,Materials,Metals & Mining,--,+2.2
BVTK,Bravatek Solutions Inc,$11.5K,Information Technology,Software,--,+3.7
BVXV,Biondvax Pharmaceuticals Ltd - ADR,$35.9M,Health Care,Pharmaceuticals,--,+2.4
BW,Babcock & Wilcox Enterprises Inc,$175.8M,Industrials,Electrical Equipment,--,+2.9
BWA,BorgWarner Inc.,$9.5B,Consumer Discretionary,Auto Components,1.79%,+1.6
BWAV,Betawave Corp,$2.9K,Communication Services,Media,--,--
BWB,Bridgewater Bancshares Inc,$355.5M,Financials,Thrifts & Mortgage Finance,--,--
BWBA,BroadWebAsia Inc,$84.9K,Communication Services,Interactive Media & Services,--,--
BWEN,Broadwind Inc,$125.7M,Industrials,Electrical Equipment,--,+1.8
BWFG,Bankwell Financial Group Inc,$149.3M,Financials,Banks,2.95%,+0.8
BWMG,Brownie's Marine Group Inc.,$6.7M,Consumer Discretionary,Leisure Products,--,+2.4
BWOWF,Wowjoint Holdings Ltd,$26.1K,Industrials,Machinery,--,+6.0
BWTL,Bowlin Travel Centers Inc,$11.9M,Consumer Discretionary,Specialty Retail,--,+0.4
BWXT,BWX Technologies Inc,$5.7B,Industrials,Aerospace & Defense,1.29%,+1.0
BX,Blackstone Group Inc,$74.7B,Financials,Capital Markets,3.03%,+1.3
BXC,BlueLinx Holdings Inc.,$302.5M,Industrials,Trading Companies & Distributors,--,+2.1
BXLC,Bexil Corporation,$13.3M,Financials,Diversified Financial Services,--,+0.5
BXMT,Blackstone Mortgage Trust Inc,$3.8B,Financials,Mortgage Real Estate Investment Trusts (REITs),9.48%,+1.4
BXP,"Boston Properties, Inc.",$14.2B,Real Estate,Equity Real Estate Investment Trusts (REITs),4.32%,+1.3
BXS,Bancorpsouth Bank,$2.9B,Financials,Banks,2.75%,+1.3
BXS-A,BancorpSouth Bank,--,Financials,Banks,5.25%,--
BY,Byline Bancorp Inc,$622.7M,Financials,Banks,0.77%,+1.4
BYFC,Broadway Financial Corp,$36.9M,Financials,Thrifts & Mortgage Finance,--,+1.0
BYND,Beyond Meat Inc,$8.0B,Consumer Staples,Food Products,--,--
BYOC,"Beyond Commerce, Inc.",$3.3M,Communication Services,Interactive Media & Services,--,+5.0
BYSI,Beyondspring Inc,$459.9M,Health Care,Biotechnology,--,+0.6
BYZN,Byzen Digital Inc,$10.4M,Information Technology,IT Services,--,--
BZDLF,KINCORA COPPER LTD,$19.3M,Materials,Metals & Mining,--,+1.3
BZH,"Beazer Homes USA, Inc.",$456.3M,Consumer Discretionary,Household Durables,--,+2.2
BZIC,Beamz Interactive Inc,$337.5K,Consumer Discretionary,Leisure Products,--,+2.9
BZLFY,Bunzl plc (ADR),$11.8B,Industrials,Trading Companies & Distributors,1.94%,+0.8
BZTG,Heffx Inc,$674.3K,Communication Services,Diversified Telecommunication Services,--,+0.5
BZUN,Baozun Inc (ADR),$2.9B,Consumer Discretionary,Internet & Direct Marketing Retail,--,+1.1
BZYR,Burzynski Research Institute Inc,$2.4M,Health Care,Biotechnology,--,+2.1
C,Citigroup Inc,$128.4B,Financials,Banks,3.39%,+1.9
CAAP,Corporacion America Airports SA,$608.1M,Industrials,Transportation Infrastructure,--,--
CAAS,"China Automotive Systems, Inc.",$196.3M,Consumer Discretionary,Auto Components,--,+3.3
CABA,Cabaletta Bio Inc,$317.5M,Health Care,Biotechnology,--,--
CABO,Cable One Inc,$12.9B,Communication Services,Media,0.46%,+0.5
CAC,Camden National Corporation,$542.2M,Financials,Banks,3.67%,+1.0
CACC,Credit Acceptance Corp.,$6.1B,Financials,Consumer Finance,--,+1.2
CACH,Cache Inc,$232.8K,Consumer Discretionary,Specialty Retail,--,+0.9
CACI,CACI International Inc,$6.0B,Information Technology,IT Services,--,+1.1
CADE,Cadence Bancorp,$2.1B,Financials,Banks,1.85%,+1.9
CADIF,CADILLAC VENTURES INC,$1.2M,Materials,Metals & Mining,--,+2.0
CAE,Cae Inc (USA),$7.6B,Industrials,Aerospace & Defense,--,+2.1
CAEN,California-Engels Mining Company,$3.0M,Materials,Paper & Forest Products,--,--
CAFI,NowAuto Group Inc,$4.9M,Financials,Consumer Finance,--,--
CAFZF,CANAF INVESTMENTS INC,$2.2M,Materials,Metals & Mining,--,+1.4
CAG,Conagra Brands Inc,$17.4B,Consumer Staples,Food Products,3.06%,+0.9
CAH,Cardinal Health Inc,$15.5B,Health Care,Health Care Providers & Services,3.67%,+1.0
CAHI,Carrier Alliance Holdings Inc,$428.1K,Consumer Discretionary,Specialty Retail,--,--
CAI,CAI International Inc,$562.8M,Industrials,Trading Companies & Distributors,3.28%,+1.6
CAI-A,CAI International Inc,--,Industrials,Trading Companies & Distributors,8.29%,--
CAI-B,CAI International Inc,--,Industrials,Trading Companies & Distributors,8.26%,--
CAL,Caleres Inc,$572.4M,Consumer Discretionary,Specialty Retail,1.93%,+2.6
CALA,Calithera Biosciences Inc,$184.2M,Health Care,Biotechnology,--,+1.7
CALB,California BanCorp,$131.3M,Financials,Banks,--,+1.3
CALI,China Auto Logistics Inc,$532.4K,Consumer Discretionary,Specialty Retail,--,+6.1
CALM,Cal-Maine Foods Inc,$1.8B,Consumer Staples,Food Products,--,-0.2
CAMG,CAM Group Inc,$379.4K,Communication Services,Media,--,--
CAMT,Camtek LTD.,$945.0M,Information Technology,Semiconductors & Semiconductor Equipment,--,+1.6
CAMZF,CAMINO MINERALS CORP,$8.2M,Materials,Metals & Mining,--,+1.9
CANB,Can B Corp,$3.2M,Health Care,Pharmaceuticals,--,+0.7
CANG,Cango Inc - ADR,$1.2B,Consumer Discretionary,Internet & Direct Marketing Retail,3.31%,--
CANL,Cannlabs Inc,$4.3M,Health Care,Health Care Providers & Services,--,+0.7
CANN,General Cannabis Corp,$31.6M,Industrials,Commercial Services & Supplies,--,+0.9
CANSF,WILLOW BIOSCIENCES INC,$85.8M,Health Care,Biotechnology,--,+1.6
CANX,CannAwake Corp,$830.0K,Real Estate,Real Estate Management & Development,--,+0.1
CAPB,CapitalSouth Bancorp,$35.4K,Financials,Banks,--,--
CAPC,Capstone Companies Inc,$2.8M,Industrials,Electrical Equipment,--,+0.9
CAPP,Capstone Financial Group Inc,$983.5K,Financials,Capital Markets,--,--
CAPR,Capricor Therapeutics Inc,$75.8M,Health Care,Biotechnology,--,+6.7
CAPS,Capstone Therapeutics Corp,$1.8M,Health Care,Biotechnology,--,+2.3
CAR,Avis Budget Group Inc.,$2.5B,Industrials,Road & Rail,--,+2.2
CARA,Cara Therapeutics Inc,$746.0M,Health Care,Pharmaceuticals,--,+1.5
CARE,Carter Bank and Trust,$284.1M,Financials,Banks,--,+1.4
CARG,CarGurus Inc,$3.6B,Communication Services,Interactive Media & Services,--,--
CARS,Cars.com Inc,$773.3M,Communication Services,Interactive Media & Services,--,+2.4
CARV,Carver Bancorp Inc,$19.6M,Financials,Thrifts & Mortgage Finance,--,+1.3
CASH,Meta Financial Group Inc.,$1.2B,Financials,Thrifts & Mortgage Finance,0.55%,+1.0
CASI,CASI Pharmaceuticals Inc,$349.5M,Health Care,Biotechnology,--,+0.5
CASS,Cass Information Systems,$567.5M,Information Technology,IT Services,2.82%,+0.8
CASY,Casey's General Stores Inc,$6.6B,Consumer Staples,Food & Staples Retailing,0.77%,+0.9
CAT,Caterpillar Inc.,$100.9B,Industrials,Machinery,2.26%,+0.9
CATB,Catabasis Pharmaceuticals Inc,$45.4M,Health Care,Biotechnology,--,+2.1
CATC,Cambridge Bancorp,$491.9M,Financials,Banks,3.03%,+0.5
CATG,Capstone Technologies Group Inc,$3.6M,Consumer Discretionary,Diversified Consumer Services,--,-2.2
CATI,Clone Algo Technologies Inc,$542.3M,Information Technology,Software,--,--
CATM,Cardtronics PLC,$1.6B,Information Technology,IT Services,--,+1.9
CATN,CAT9 Group Inc,$317.2M,Consumer Staples,Food Products,--,--
CATO,Cato Corp,$212.1M,Consumer Discretionary,Specialty Retail,--,+1.0
CATY,Cathay General Bancorp,$2.6B,Financials,Banks,3.88%,+1.5
CAWW,CCA Industries Inc,$13.3M,Consumer Staples,Personal Products,--,+0.4
CB,Chubb Ltd,$67.8B,Financials,Insurance,2.08%,+0.7
CBAN,Colony Bankcorp Inc,$136.8M,Financials,Banks,2.82%,+0.6
CBAT,CBAK Energy Technology Inc,$393.2M,Industrials,Electrical Equipment,--,+3.5
CBAY,CymaBay Therapeutics Inc,$393.3M,Health Care,Pharmaceuticals,--,+1.3
CBB,Cincinnati Bell Inc.,$775.2M,Communication Services,Diversified Telecommunication Services,--,+0.4
CBBT,Cerebain Biotech Corp,$9.5M,Health Care,Biotechnology,--,+5.0
CBCA,Crown Baus Capital Corp,$13.9M,Financials,Diversified Financial Services,--,+6.1
CBD,Companhia Brasileira de Distribuicao,$3.7B,Consumer Staples,Food & Staples Retailing,1.05%,+1.0
CBDG,THC Farmaceuticals Inc,$2.0M,Industrials,Commercial Services & Supplies,--,+0.9
CBDS,Cannabis Sativa Inc,$13.3M,Health Care,Health Care Providers & Services,--,+3.3
CBDX,Curative Biosciences Inc,$4.3M,Health Care,Pharmaceuticals,--,-0.3
CBDY,Target Group Inc,$6.7M,Health Care,Pharmaceuticals,--,-1.8
CBEEF,CABO DRILLING CORP,$9.4K,Materials,Metals & Mining,--,--
CBFV,CB Financial Services Inc,$105.8M,Financials,Banks,4.90%,+0.8
CBGI,Cannabusiness Group Inc,$274.6K,Real Estate,Real Estate Management & Development,--,-5.2
CBIO,Catalyst Biosciences Inc,$133.7M,Health Care,Biotechnology,--,+2.0
CBKM,"Consumers Bancorp, Inc.",$58.0M,Financials,Banks,3.03%,+0.7
CBLAQ,"CBL & Associates Properties, Inc.",$8.4M,Real Estate,Equity Real Estate Investment Trusts (REITs),--,+1.8
CBLI,"Cleveland BioLabs, Inc.",$45.3M,Health Care,Biotechnology,--,+0.7
CBLRF,"Campbell Resources, Inc. (USA)",$93.7K,Materials,Metals & Mining,--,--
CBMB,CBM Bancorp Inc,$51.3M,Financials,Thrifts & Mortgage Finance,--,--
CBMG,Cellular Biomedicine Group Inc,$351.8M,Health Care,Biotechnology,--,+1.2
CBNK,Capital Bancorp Inc,$188.0M,Financials,Banks,--,--
CBNT,C-Bond Systems Inc,$28.2M,Materials,Chemicals,--,--
CBOE,Cboe Global Markets Inc,$10.0B,Financials,Capital Markets,1.81%,+0.7
CBPI,China Botanic Pharmaceutical Inc,$934.7K,Consumer Staples,Personal Products,--,--
CBPJ,CBP Carbon Industries Inc,$10.4M,Industrials,Commercial Services & Supplies,--,--
CBPO,China Biologic Products Holdings Inc,$4.6B,Health Care,Biotechnology,--,+0.4
CBRE,CBRE Group Inc,$19.9B,Real Estate,Real Estate Management & Development,--,+1.5
CBRI,CMTSU Liquidation Inc,$98.0K,Information Technology,IT Services,--,+0.1
CBRSF,CHAMPION BEAR RESOURCES LTD,$5.4M,Materials,Metals & Mining,--,+1.0
CBSH,"Commerce Bancshares, Inc.",$7.8B,Financials,Banks,1.63%,+1.0
CBT,Cabot Corp,$2.6B,Materials,Chemicals,3.15%,+1.6
CBTX,CBTX Inc,$632.7M,Financials,Banks,1.58%,--
CBU,"Community Bank System, Inc.",$3.4B,Financials,Banks,2.71%,+0.7
CBYDF,CORBY SPIRIT AND WINE LTD,$291.3M,Consumer Staples,Beverages,5.64%,+0.3
CBZ,"CBIZ, Inc.",$1.4B,Industrials,Professional Services,--,+0.6
CC,Chemours Co,$4.2B,Materials,Chemicals,4.03%,+2.2
CCARF,COLONIAL COAL INTL CORP,$120.2M,Materials,Metals & Mining,--,+1.5
CCB,Coastal Financial Corp (EVERETT),$243.8M,Financials,Banks,--,--
CCBC,Chino Commercial Bancorp (CA),$20.2M,Financials,Banks,--,+0.7
CCBG,"Capital City Bank Group, Inc.",$405.3M,Financials,Banks,2.48%,+0.8
CCC,CLARIVATE PLC,$18.3B,Industrials,Professional Services,--,--
CCDBF,CCL INDUSTRIES  -CL B,$7.6B,Materials,Containers & Packaging,1.24%,+0.7
CCEDF,CASCADERO COPPER CORP,$4.3M,Materials,Metals & Mining,--,+1.7
CCEL,"CRYO-CELL International, Inc.",$56.6M,Health Care,Health Care Providers & Services,--,+0.3
CCEP,Coca-Cola European Partners PLC,$21.9B,Consumer Staples,Beverages,3.49%,+0.8
CCF,Chase Corporation,$983.5M,Materials,Chemicals,0.79%,+0.7
CCFN,CCFNB Bancorp Inc,$94.2M,Financials,Banks,3.70%,+0.4
CCGM,China CGame Inc,$28.1K,Communication Services,Entertainment,--,-1.0
CCGN,Consumer Capital Group Inc,$56.3M,Financials,Consumer Finance,--,+0.1
CCHI,"Cambridge Capital Holdings, Inc.",$7.5K,Materials,Metals & Mining,--,--
CCI,Crown Castle International Corp,$67.5B,Real Estate,Equity Real Estate Investment Trusts (REITs),3.43%,+0.3
CCIHY,ChinaCache International Holdings Ltd,$3.7M,Information Technology,IT Services,--,-0.8
CCJMF,MELIOR RESOURCES INC,$1.1M,Materials,Metals & Mining,--,+3.3
CCK,"Crown Holdings, Inc.",$13.2B,Materials,Containers & Packaging,--,+1.1
CCM,Concord Medical Services Hldg Ltd (ADR),$147.2M,Health Care,Health Care Providers & Services,--,+0.3
CCMP,CMC Materials Inc,$4.3B,Information Technology,Semiconductors & Semiconductor Equipment,1.21%,+1.2
CCNC,Code Chain New Continent Ltd,$59.2M,Industrials,Machinery,--,+0.9
CCNCF,KAIZEN DISCOVERY INC,$12.4M,Materials,Metals & Mining,--,+1.8
CCNE,CNB Financial Corp,$354.5M,Financials,Banks,3.24%,+1.0
CCO,Clear Channel Outdoor Holdings Inc,$715.0M,Communication Services,Media,--,+2.7
CCOB,Century Cobalt Corp,$1.4M,Materials,Metals & Mining,--,+2.3
CCOI,Cogent Communications Holdings Inc,$2.7B,Communication Services,Diversified Telecommunication Services,4.90%,+0.1
CCOM,Ccom Group Inc,$7.8M,Industrials,Trading Companies & Distributors,--,+0.5
CCOXF,CANDENTE COPPER CORP,$35.5M,Materials,Metals & Mining,--,+3.2
CCRC,China Customer Relations Centers Inc,$66.0M,Industrials,Commercial Services & Supplies,--,+0.5
CCRN,"Cross Country Healthcare, Inc.",$344.0M,Health Care,Health Care Providers & Services,--,+1.1
CCS,Century Communities Inc,$1.5B,Consumer Discretionary,Household Durables,--,+1.9
CCTC,Clean Coal Technologies Inc,$3.6M,Industrials,Commercial Services & Supplies,--,-0.5
CCTR,"China Crescent Enterprises, Inc.",$6.1M,Information Technology,IT Services,--,--
CCU,Compania Cervecerias Unidas S.A. (ADR),$2.8B,Consumer Staples,Beverages,--,+1.0
CCXI,ChemoCentryx Inc,$4.0B,Health Care,Biotechnology,--,+1.4
CDAK,Codiak BioSciences Inc,$537.9M,Health Care,Biotechnology,--,--
CDAY,Ceridian HCM Holding Inc,$15.1B,Information Technology,Software,--,--
CDBMF,CORDOBA MINERALS CORP,$55.2M,Materials,Metals & Mining,--,+1.9
CDBT,China Dasheng Biotechnology Co,$1.9M,Materials,Chemicals,--,+3.6
CDE,Coeur Mining Inc,$2.6B,Materials,Metals & Mining,--,+2.0
CDEVY,City Developments Limited (ADR),$5.5B,Real Estate,Real Estate Management & Development,1.73%,+1.4
CDK,CDK Global Inc,$6.2B,Information Technology,Software,1.19%,+1.4
CDLX,Cardlytics Inc,$3.7B,Communication Services,Media,--,--
CDMO,Avid Bioservices Inc,$769.1M,Health Care,Biotechnology,--,+2.3
CDNA,CareDx Inc,$3.6B,Health Care,Biotechnology,--,+0.7
CDNN,China Industrial Steel Inc,$272.4K,Materials,Metals & Mining,--,--
CDNS,Cadence Design Systems Inc,$38.0B,Information Technology,Software,--,+1.0
CDOR,Condor Hospitality Trust Inc,$48.4M,Real Estate,Equity Real Estate Investment Trusts (REITs),--,+2.5
CDR,Cedar Realty Trust Inc,$133.5M,Real Estate,Equity Real Estate Investment Trusts (REITs),2.74%,+1.6
CDR-B,Cedar Realty Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),8.26%,--
CDR-C,Cedar Realty Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),7.67%,--
CDRBQ,Code Rebel Corp,$.0K,Information Technology,Software,--,--
CDSG,"China DongSheng International, Inc.",$283.9K,Consumer Staples,Personal Products,--,--
CDTI,CDTi Advanced Materials Inc,$1.4M,Consumer Discretionary,Auto Components,--,+1.0
CDTX,Cidara Therapeutics Inc,$95.6M,Health Care,Biotechnology,--,+1.5
CDWD,Cloudward Inc,$87.5K,Information Technology,Software,--,--
CDXC,Chromadex Corp,$299.7M,Health Care,Life Sciences Tools & Services,--,+1.6
CDXI,Cardax Inc,$1.3M,Health Care,Pharmaceuticals,--,+1.2
CDXS,"Codexis, Inc.",$1.4B,Health Care,Life Sciences Tools & Services,--,+1.2
CDYCF,Cardero Resource Corp (USA),$2.0M,Materials,Metals & Mining,--,+1.4
CDZI,Cadiz Inc,$373.6M,Utilities,Water Utilities,--,-0.1
CE,Celanese Corporation,$15.4B,Materials,Chemicals,1.97%,+1.2
CEA,China Eastern Airlines Corp. Ltd.  (ADR),$2.3B,Industrials,Airlines,1.63%,+1.4
CECE,CECO Environmental Corp.,$254.2M,Industrials,Commercial Services & Supplies,--,+1.3
CEFC,Commercial Natl Finl Corp (Michigan),$26.5M,Financials,Banks,6.05%,+0.5
CEL,Cellcom Israel Ltd.,$719.6M,Communication Services,Wireless Telecommunication Services,--,+1.0
CELC,Celcuity Inc,$113.3M,Health Care,Biotechnology,--,--
CELH,"Celsius Holdings, Inc.",$3.8B,Consumer Staples,Beverages,--,+2.2
CEMI,Chembio Diagnostics Inc,$104.6M,Health Care,Health Care Equipment & Supplies,--,+2.0
CENT,Central Garden & Pet Co,$511.9M,Consumer Staples,Household Products,--,+0.6
CENTA,CENTRAL GARDEN & PET CO,$1.6B,Consumer Staples,Household Products,--,+0.6
CENX,Century Aluminum Co,$1.1B,Materials,Metals & Mining,--,+2.7
CEOS,"CeCors, Inc.",$4.2M,Health Care,Health Care Technology,--,+1.4
CERC,Cerecor Inc,$219.5M,Health Care,Pharmaceuticals,--,+1.7
CERGF,CERES GLOBAL AG CORP,$93.9M,Industrials,Commercial Services & Supplies,--,-0.7
CERN,Cerner Corporation,$23.8B,Health Care,Health Care Technology,1.13%,+0.8
CERPQ,Cereplast Inc,$569.2K,Materials,Chemicals,--,+2.5
CERS,Cerus Corporation,$1.1B,Health Care,Health Care Equipment & Supplies,--,+1.3
CETY,Clean Energy Technologies Inc,$40.1M,Industrials,Electrical Equipment,--,+2.2
CEUMF,CENTURY GLOBAL COMMODITIES,$21.9M,Materials,Metals & Mining,--,+0.7
CEVA,"CEVA, Inc.",$1.0B,Information Technology,Semiconductors & Semiconductor Equipment,--,+1.2
CEVE,Ceres Ventures Inc,$1.1M,Industrials,Commercial Services & Supplies,--,+1.9
CF,"CF Industries Holdings, Inc.",$8.5B,Materials,Chemicals,3.11%,+1.2
CFB,Crossfirst Bankshares Inc,$566.6M,Financials,Banks,--,--
CFBI,Commnty Frst Bnshrs Inc (CVINGTN),$73.5M,Financials,Banks,--,+0.6
CFBK,CF Bankshares Inc,$108.8M,Financials,Thrifts & Mortgage Finance,0.71%,+0.8
CFFI,C&F Financial Corp,$137.6M,Financials,Banks,4.11%,+0.6
CFFN,"Capitol Federal Financial, Inc.",$1.7B,Financials,Thrifts & Mortgage Finance,2.72%,+0.3
CFG,Citizens Financial Group Inc,$15.5B,Financials,Banks,4.39%,+1.8
CFGMF,CALIFORNIA GOLD MINING INC,$6.0M,Materials,Metals & Mining,--,+1.7
